ADM_NAME,agglomerative_cluster
CHADIZA,G1
CHAMA,G2
CHASEFU,G2
CHIBOMBO,G1
CHIENGI,G2
CHIKANKANTA,G1
CHILANGA,G1
CHINSALI,G2
CHIPANGALI,G2
CHIPATA,G1
CHIRUNDU,G1
CHISAMBA,G1
CHITAMBO,G1
CHOMA,G1
CHONGWE,G1
GWEMBE,G1
ISOKA,G2
ITEZHI-TEZHI,G1
KABOMPO,G1
KABWE,G1
KAFUE,G1
KALOMO,G1
KALULUSHI,G1
KANCHIBIYA,G2
KAOMA,G1
KAPIRI MPOSHI,G1
KASAMA,G2
KASEMPA,G1
KASENENGWA,G1
KATETE,G1
KAZUNGULA,G1
KITWE,G1
LUANO,G1
LUANSHYA,G1
LUFWANYAMA,G1
LUMEZI,G2
LUNDAZI,G2
MAFINGA,G2
MAMBWE,G1
MANSA,G2
MANYINGA,G1
MASAITI,G1
MAZABUKA,G1
MBALA,G2
MKUSHI,G1
MONZE,G1
MPIKA,G2
MPONGWE,G1
MUFUMBWE,G1
MUMBWA,G1
MUNGWI,G2
NAKONDE,G2
NAMWALA,G1
NCHELENGE,G2
NDOLA,G1
NKEYEMA,G1
NYIMBA,G1
PEMBA,G1
PETAUKE,G1
RUFUNSA,G1
SENGA HILL,G2
SERENJE,G1
SHIBUYUNJI,G1
SIAVONGA,G1
SINAZONGWE,G1
SINDA,G1
SOLWEZI,G1
VUBWI,G1
ZAMBEZI,G1
ZIMBA,G1
