year,morans_i,p_value,significant
2000,0.6697012520823056,0.001,True
2001,0.8001420821175919,0.001,True
2002,0.4619377146207326,0.001,True
2003,0.4898236316106209,0.001,True
2004,0.42393010538347997,0.001,True
2005,0.7003200287601287,0.001,True
2006,0.6901737453903642,0.001,True
2007,0.3133326449648211,0.002,True
2008,0.7491538634160493,0.001,True
2009,0.41037720964034013,0.001,True
2010,0.20142723728461084,0.01,True
2011,0.4423742000968914,0.001,True
2012,0.5341220688081638,0.001,True
2013,0.26125592825790284,0.004,True
2014,0.40905835781908667,0.001,True
2015,0.5464130049395786,0.001,True
2016,0.36844217897471637,0.001,True
2017,0.4866615335962574,0.001,True
2018,0.7309465066913626,0.001,True
2019,0.6311383344118748,0.001,True
2020,0.3557076369062985,0.002,True
2021,0.2634019573820038,0.001,True
2022,0.3677144196195343,0.001,True
2023,0.816897194712476,0.001,True
2024,0.585942959543845,0.001,True
2025,0.6553868169535185,0.001,True
